DATE,BIVA VALUE,BIVA VOLUME,BIVA TRADES,BMV VALUE,BMV VOLUME,BMV TRADES,BIVA VALUE MARKET SHARE,BIVA VOLUME MARKET SHARE,BIVA TRADES MARKET SHARE,BMV VALUE MARKET SHARE,BMV VOLUME MARKET SHARE,BMV TRADES MARKET SHARE
26/02/2019,"518,229,718.55","3,407,163","14,733","16,252,804,679.23","263,727,508","428,830",3.09,1.28,3.32,96.91,98.72,96.68
27/02/2019,"1,019,636,508.88","3,188,879","7,369","14,426,130,603.22","218,903,401","390,300",6.60,1.44,1.85,93.40,98.56,98.15
28/02/2019,"821,952,350.85","3,690,728","9,009","16,218,554,850.18","422,396,658","520,049",4.82,0.87,1.70,95.18,99.13,98.30
01/03/2019,"3,895,542,775.97","4,989,872","12,903","11,906,174,827.32","227,048,373","506,936",24.65,2.15,2.48,75.35,97.85,97.52
04/03/2019,"277,847,883.72","2,378,387","8,532","9,622,543,399.06","180,141,858","347,998",2.81,1.30,2.39,97.19,98.70,97.61
05/03/2019,"2,344,804,615.25","4,370,774","8,059","11,254,321,885.84","218,902,489","332,885",17.24,1.96,2.36,82.76,98.04,97.64
06/03/2019,"194,541,996.24","3,131,100","8,335","11,895,264,683.77","228,377,531","373,934",1.61,1.35,2.18,98.39,98.65,97.82
07/03/2019,"724,697,338.08","11,397,089","7,264","12,559,691,357.10","228,377,912","361,199",5.46,4.75,1.97,94.54,95.25,98.03
08/03/2019,"255,180,131.05","2,378,394","6,796","12,607,300,608.27","243,275,130","329,363",1.98,0.97,2.02,98.02,99.03,97.98
11/03/2019,"555,691,442.69","1,495,805","6,296","8,502,358,333.63","156,996,148","315,949",6.13,0.94,1.95,93.87,99.06,98.05
12/03/2019,"6,974,277,131.48","7,344,078","7,988","14,612,185,894.51","221,646,216","424,294",32.31,3.21,1.85,67.69,96.79,98.15
13/03/2019,"1,389,177,110.00","4,512,563","12,409","13,116,377,772.20","220,791,066","451,708",9.58,2.00,2.67,90.42,98.00,97.33
14/03/2019,"672,037,923.17","2,668,065","8,437","10,470,285,117.04","187,821,036","404,030",6.03,1.40,2.05,93.97,98.60,97.95
15/03/2019,"599,645,551.70","94,805,554","12,418","26,785,813,603.63","720,622,292","528,899",2.19,11.63,2.29,97.81,88.37,97.71
19/03/2019,"1,655,015,385.10","5,861,096","14,175","17,849,176,060.88","296,970,391","613,405",8.49,1.94,2.26,91.51,98.06,97.74
20/03/2019,"4,095,596,031.88","10,363,917","8,110","20,744,306,008.36","315,134,112","457,113",16.49,3.18,1.74,83.51,96.82,98.26
21/03/2019,"1,973,601,145.15","3,976,690","7,523","19,133,002,942.12","258,340,379","489,876",9.35,1.52,1.51,90.65,98.48,98.49
22/03/2019,"882,787,541.95","15,965,124","12,526","17,007,583,388.44","277,089,143","361,926",4.93,5.45,3.35,95.07,94.55,96.65
25/03/2019,"2,890,071,322.34","20,297,093","9,774","17,353,608,429.40","221,726,556","304,966",14.28,8.39,3.11,85.72,91.61,96.89
26/03/2019,"785,119,733.01","3,045,473","6,772","12,132,728,858.74","209,120,291","373,829",6.08,1.44,1.78,93.92,98.56,98.22
27/03/2019,"3,731,509,902.25","8,230,070","7,936","12,973,992,023.23","233,612,990","352,944",22.34,3.40,2.20,77.66,96.60,97.80
28/03/2019,"286,570,259.06","2,212,055","6,834","12,518,531,369.87","211,802,723","342,611",2.24,1.03,1.96,97.76,98.97,98.04
29/03/2019,"380,321,095.42","3,384,411","6,656","14,808,979,192.87","299,301,167","371,702",2.50,1.12,1.76,97.50,98.88,98.24
01/04/2019,"808,170,236.69","4,248,388","11,116","17,749,455,793.20","232,378,619","403,795",4.35,1.80,2.68,95.65,98.20,97.32
02/04/2019,"1,216,190,168.00","6,941,415","9,014","9,595,324,000.83","173,393,861","297,054",11.25,3.85,2.95,88.75,96.15,97.05
03/04/2019,"1,075,722,879.00","5,764,913","5,589","11,836,776,707.97","233,374,595","353,999",8.33,2.41,1.55,91.67,97.59,98.45
04/04/2019,"751,808,129.28","8,825,025","8,579","13,462,584,894.20","215,882,469","319,603",5.29,3.93,2.61,94.71,96.07,97.39
05/04/2019,"3,181,299,975.51","18,139,469","7,905","16,624,052,354.72","336,179,579","392,070",16.06,5.12,1.98,83.94,94.88,98.02
08/04/2019,"2,880,426,688.03","6,206,190","9,186","17,005,269,544.00","236,249,061","367,866",14.48,2.56,2.44,85.52,97.44,97.56
09/04/2019,"2,576,610,020.05","18,455,049","7,700","24,561,904,061.88","357,472,343","444,399",9.49,4.91,1.70,90.51,95.09,98.30
10/04/2019,"602,489,770.50","2,881,835","7,058","14,868,741,194.87","243,390,767","398,732",3.89,1.17,1.74,96.11,98.83,98.26
11/04/2019,"613,716,011.45","3,094,746","4,276","8,989,972,773.02","202,669,565","260,022",6.39,1.50,1.62,93.61,98.50,98.38
12/04/2019,"1,792,878,140.49","12,957,706","6,805","22,020,376,192.67","219,124,409","320,402",7.53,5.58,2.08,92.47,94.42,97.92
15/04/2019,"1,677,542,685.46","18,314,925","4,391","8,810,016,981.61","150,919,791","295,161",16.00,10.82,1.47,84.00,89.18,98.53
16/04/2019,"2,629,157,336.10","6,870,438","6,248","8,674,030,460.61","180,784,015","335,964",23.26,3.66,1.83,76.74,96.34,98.17
17/04/2019,"280,285,169.48","1,976,295","5,208","8,516,023,703.87","177,208,677","311,933",3.19,1.10,1.64,96.81,98.90,98.36
22/04/2019,"533,085,907.65","9,977,551","7,110","6,954,881,767.73","145,266,524","199,479",7.12,6.43,3.44,92.88,93.57,96.56
23/04/2019,"547,448,186.00","3,513,236","10,897","14,775,323,616.58","206,786,191","314,927",3.57,1.67,3.34,96.43,98.33,96.66
